uuid	patent_id	text	dependent	sequence	exemplary
0000f7lrzr70g385gjisim8e0	7755622	The method of claim 6, wherein projecting the three dimensional representation of a wire harness in two dimensions includes:a) projecting a backbone of the three-dimensional representation of the wire harness onto a plane;b) using the projected backbone to create a two-dimensional axis system in the plane; andc) projecting the three-dimensional representation of a wire harness into two dimensions by projection onto the two-dimensional axis system.	6	11	False
0000g7fsqf2qpdelbycuhdpl6	6293949	The device of claim 35 wherein said slot is substantially oval-shaped.	NULL	36	False
0000gmwrk7flgu0b5e8klo5cc	8862638	The method of claim 1, wherein the set of extraction rules comprises a set of data categories for the current set of operative data.	1	4	False
0000ir7c2jmb324y6agvazg0k	8558655	A PTC circuit protection device, comprising:a positive temperature coefficient layer made from a positive temperature coefficient polymer composition of claim 1; andtwo electrodes disposed on two opposite surfaces of said positive temperature coefficient layer.	1	12	False
0000itpcu3ug8ebb8mk0u6cwe	8988879	The apparatus of claim 1, further comprising anchors on the housing having attachment points for computer racks to provide seismic support for the racks.	1	14	False
0000j2his831wleyt5va9z6u3	6571311	A nonvolatile memory apparatus comprising:a nonvolatile memory in which a programming mode and a normal reading mode are set; a register connected to the nonvolatile memory; a register data bus and a register address bus connected to the register; a memory data bus and a memory address bus connected between the nonvolatile memory and the register, wherein the register comprises a memory control signal register block, a memory address register block, a memory data register block and a register address decoder, wherein a plurality of data necessary for executing the programming mode includes at least one register control signal, at least one register address and at least one register data that are supplied to the register, the at least one register data being stored to any one of the register blocks in accordance with an enable signal from the register address decoder which decodes the register address; and wherein when the programming mode is set, the plurality of data necessary for execution of the programming mode is read out from the register to the nonvolatile memory without using a sequencer circuit to provide timing signals for the plurality of data.	NULL	21	False
0000jd5328dvljuvxum7kzlr8	5294021	The apparatus of claim 1, wherein said lobster exciting structure is elongate and essentially tubular and has an air receiving end and a remote end.	NULL	4	False
0000jx73998jp7e3msurmvwa6	6824372	Apparatus for forming fibers comprising a) an extrusion head for extruding filaments of fiber-forming material through orifices in a die, b) a processing chamber aligned to receive the extruded filaments for passage through the chamber, the chamber being defined by two parallel walls, at least one of the walls being instantaneously movable toward and away from the other wall; and c) movement means for providing instantaneous movement of at least one wall; said movement means comprising biasing means for resiliently biasing the wall toward the other wall; and movement of the wall toward and away from the other wall being sufficiently easy and rapid that the wall will move away from the other wall in response to increases in pressure within the chamber but will be quickly returned to its original position by the biasing means upon resumption of the original pressure within the chamber.	NULL	13	False
0000klmdhu3b5dnmc7csihegt	4876537	A pager receiver as claimed in claim 3, said rod portion having a peripheral surface, wherein:said housing further comprises an engaging portion radially outwardly extended from said peripheral surface in contact with a back surface of said protecting plate.	NULL	4	False
0000kq1cqso99nt3dc3war894	9404686	The process of claim 1, wherein the non-flowing fine tailings deposit is a first deposit, and further comprising allowing the first deposit to dry to at least 75 wt % solids and then depositing a second deposit thereon.	1	19	False
0000lrx44z0r8efb96ff8lcpe	5154676	A power driving device according to claim 1, wherein said ring gear is formed as a guide gear unit which is secured by bolts to a spacer/connecting flange and a side plate comprising said housing.	NULL	6	False
0000m3pwbo6r57sszww5bsy41	7852709	The method in accordance with claim 12 wherein said transmitted frequency modulated acoustical signal is being swept in frequency.	12	13	False
0000ncks3xj87f7dvj7lej83v	4031147	A process according to claim 1 wherein said electron-withdrawing substituent is selected from the group consisting of halo-, alkanoyl-, aroyl-, nitro-, sulfonyl-, cyano-, and quarternary amino-.	NULL	2	False
0000oi30qfrzig0fj4oi2n3a2	7336621	The method according to claim 1, wherein said additional details include an accuracy and/or precision of a clock from which the time stamp originated.	1	3	False
0000osyungv88yhlbsx7u5ixu	4206453	An apparatus for setting up within a surveillance area at least one precisely defined control zone and detecting within that control zone and that control zone's margin the presence of a transponder having signal mixing capability comprising:an HF signal generator;means coupled to the HF signal generator for propagating through the surveillance area an electronic wave corresponding to the HF signals generated;a source of first LF signals for each control zone, such signals having a frequency different than that of any other LF signals, but close enough thereto to all be within the pass band of an FM receiver;a first means coupled to the source of first LF signals for each control zone for establishing through that control zone an electronic field corresponding to the first LF signals generated for that control zone;a source of second LF signals for each control zone, such signals having a frequency different from that of any other LF signals, but close enough thereto to all be within the pass band of the FM receiver;a second means coupled to the source of second LF signals for each control zone for establishing a control zone margin for each control zone with an electronic field corresponding to the second LF signals for that control zone thereby precisely defining that control zone;signal detecting means constructed to detect LF signals only when received as a composite with the HF signals;means for coupling the signal detecting means with the surveillance area for receiving the signals therefrom; anda means coupled to the signal detecting means delivering an electronic output for any control zone in response to detection of first LF signals for that control zone, when those first LF signals predominate over that control zone's second LF signals.	NULL	12	True
0000q58zseftords2tka0bjr5	4203160	A method by which a submarine while deeply submerged in the sea may communicate with a remote station without disclosing to unfriendly countries the position of the submarine comprising locating at a selected time a plurality of message relaying surface ships at a plurality of separated and widely dispersed sites on the surface of the sea, locating the submarine in acoustic wave energy reception range of one of said surface ships, transmitting and receiving message information at said remote site in the form of modulated electromagnetic energy, transmitting and receiving message information at said submarine in the form of modulated acoustic wave energy, retransmitting at each of said ships any incident electromagnetic wave energy from said remote station and any incident acoustic wave energy from said submarine on the other of the two forms of message carrying energy.	NULL	3	False
0000qi1qmddkx0o7kibs5hm7o	4565432	A motor driven camera according to claim 8, whereinthe blank feeding operation by said blank frame advancing control means is performed for a prescribed number of preset frames.	NULL	12	False
0000qk464bo4w3rzgjnawyvll	4710020	The system of claim 21 in which said means for supplying includes memory means, disposed in said vehicle, for storing the known height for that beacon.	NULL	22	False
0000rjbr3db9a6zt3gj2zs8hv	9583897	The socket component of claim 18, further including a first sealing element between the first socket contact and the circular contact region, and a second sealing element between the circular contact region and the second socket contact.	18	19	False
0000ruc2k040ctgmv9v6s7hpx	4472803	The digital transmitting system according to claim 1 which further comprises an interframe encoder which encodes, in an interframe fashion, said information to be transmitted, and means for applying an output signal of said interframe encoder to said first multiplexer together with an output signal of said first counting means.	NULL	2	False
0000scxxczz9d3tythnqtysiz	8257211	The pulley assembly according to claim 9, wherein said first and second runner devices further comprise a layer arranged in contact with said sliding wall and made of a polymeric material, or a fibre-reinforced polymeric matrix composite material, or a friction material.	9	10	False
0000sjhror021sybfrz15zm8f	3934934	A child's seat as in claim 14, wherein said shell further includes a pair of side restraining belt receiving slots, each of said slots extending through said short portion and positioned adjacent said long portion and a side wall.	NULL	15	False
0000stf0krn2gq90d2q58kt6z	5611286	The bunk stake of claim 1 wherein the bed of the vehicle comprises a substantially horizontal and laterally extending bunk to which the bunk stake is affixed in a substantially elevated configuration.	NULL	6	False
0000trvr9fkx1kv6vlsp0q5z9	6188117	A gate electrode comprising:an insulative layer disposed on a substrate;a gate layer disposed on said insulative layer;a conductive layer disposed on said gate layer wherein said conductive layer is a polycide including cobalt, said conductive layer extending beyond edges of said gate layer;thick first spacers disposed adjacent to opposite sides of said gate layer; andthick second spacers disposed adjacent to said thick first spacers, wherein said thick first spacers are recessed to create an open space between said conductive layer and said thick second spacers.	NULL	1	True
0000tx1naljh807aye0uqelr9	7659276	The method of claim 1 wherein the compound, pharmaceutically-acceptable salt or tautomer is a compound of Formula Vwherein Z is selected from the group consisting of a bond, methyl, ethyl, propyl, t-butyl, phenylpropyl, indolylethyl, and piperidyl;R1 is selected from the group consisting of methoxycarbonyl, ethoxycarbonyl, t-butoxycarbonyl, isopropyl, n-butyl, t-butyl, benzyl, phenyl, tetrahydronaphthyl, indolyl, tetrahydrofuryl, pyrrolidinyl, and morpholinyl, wherein R1 is optionally substituted by one or more substituents selected from the group consisting of methyl, chloro, and keto;R2 is selected from the group consisting of methyl, phenyl, biphenyl, naphthyl, thienyl, pyrrolyl, and pyridyl, or R2 and R8 together with the atom to which they are both attached form a piperidyl or cyclohexyl group, wherein R2 of the piperidyl or cyclohexyl group formed with R8 is optionally substituted by one or more substituents selected from the group consisting of methoxy, ethoxy, methyl, ethyl, isopropyl, isobutyl, methylphenoxy, methylthio, phenylethenyl, benzyloxy, phenylethoxy, benzyl, phenoxy, cyano, fluoro, chloro, bromo, trifluoromethyl, trifluoromethylphenyl, dichlorophenoxy, imidazole, benzodioxole, hydroxy, hydroxyethoxy, N-(methylcarbonyl)amino, and nitro;R8 is hydrogen or alkyl; andR10a, R10b, R10c, R10d, and R10e are independently selected from the group consisting of hydrogen, methyl, hydroxy, and methoxy.	1	8	False
0000u1ggl2h3ttyv6tvseaywe	8576293	The multi-channel image sensor of claim 3 wherein the processing circuitry further comprises:crop and resize circuitry configured to receive the image of the scene from the image pixel array and output a plurality of cropped images, wherein the processed images further comprise the cropped images, and wherein the cropped images each have a resolution that is substantially the same as the resolution of the image of the scene captured by the array of image pixels.	3	4	False
0000uaa3cwtozaxv2hrpi3huw	9402430	The garment of claim 1, wherein the pocket extends between right and left sides of the interior surface of the first front panel.	1	4	False
0000ug1p7gaf710imu7dscdx6	8217737	The system of claim 12, wherein the coupler further comprises:clamping members that hold the plurality of securing members against the movable tuning device.	12	13	False
0000vny62j5u2qay455iaq3g8	9530082	The method of claim 1, wherein the label indicates that the image contains sexual content.	1	8	False
0000y1i5nb8cls16j96vgkjl3	9188293	The body panel recited in claim 1, whereinthe flexible lighting strip is secured in the recess by an adhesive substance.	1	3	False
0000yjje1tvn2f3vjw6teywbo	8070474	A lamination shaping apparatus as set forth in claim 6, whereinsaid window is in the form of a f&#xb7;&#x3b8; lens.	6	10	False
0000z1thzmqrpsk2zk6qhbkiz	9498227	The clip applier according to claim 16, further comprising a clip pusher bar slidably positioned within at least one of said housing and said channel assembly, said clip pusher bar having a first end operatively connected to at least one of said handles and a second end defining a pusher terminating proximate said pair of jaws, said clip pusher bar being moved towards said pair of jaws as said handles are approximated in a first direction an initial amount to move a distal-most clip of said plurality of clips between said pair of jaws, and said clip pusher bar being configured and adapted to move towards said housing as said handles are approximated an additional amount in said first direction to move said pusher behind a next distal-most clip in said plurality of clips.	16	17	False
0000zjks7duisvtaxsccymzv0	6226819	A seat according to claim 12, wherein said surface material has an upper part which is air-permeable and side parts continued from said upper part, said upper part being attached to said second foamed body and said side parts covering said side surfaces of said first foamed body.	NULL	15	False
0001004kt52vum6ljak5j4hsu	5455527	The integrated buffer circuit according to claim 1, wherein said first and second enable transistors are of mutually opposite channel types.	NULL	4	False
00010ygoq9dzy9mwclzevdy0u	6517996	A method of manufacturing a full-color organic electro-luminescent device, comprising the steps of:patterning an indium-tin-oxide glass substrate; cleaning the indium-tin-oxide glass substrate; forming an insulation pad over the indium-tin-oxide glass substrate; forming a low shadow mask over the insulation pad by a first dry film photo-resist process; forming a high shadow mask over the insulation pad by conducting a second dry film photo-resist process; forming a hole-transport layer over the indium-tin-oxide glass substrate by conducting a vapor-depositing process; conducting three vapor-depositing processes simultaneously to form red, green and blue light-emitting materials on the hole-transport layer in the same step using the low shadow mask and the high shadow mask as a barrier; forming an electron-transport layer over the red, the green and the blue light-emitting materials by conducting a vapor-depositing process; and forming a metal layer over the electron-transport material by conducting a vapor-depositing process.	NULL	1	True
00011u0t8o75vtqps88emkl1i	8057973	A photoconductor in accordance with claim 14 wherein said alkyl and alkoxy each contains from about 1 to about 12 carbon atoms, and said aryl contains from about 6 to about 36 carbon atoms.	14	15	False
00012w6azxtxkoiybvqi4atag	8102707	A method of programming memory cells, the method comprising:programming a first subset of commonly coupled memory cells to one of a first number (E) of program states;programming a second subset of the commonly coupled memory cells to one of a second number (O) of program states, wherein O is greater than E; andprogramming a third subset of the commonly coupled memory cells to one of a third number (E2) of program states;wherein the second subset is programmed prior to the third subset;wherein the first subset of memory cells are coupled to a first sense line, the second subset of memory cells are coupled to a second sense line, and the third subset of memory cells are coupled to a third sense line, and wherein the first, second, and third sense lines are different sense lines.	NULL	24	False
000132gj7iyys84i8s5xehvdp	7966120	The engine control system of claim 18, wherein the control module is configured to turn on the fuel injector at a second timing corresponding to a shift in the waveform output from the peak portion toward the first portion of a second wave, the waveform shift corresponding to the predetermined angular shift in the rotational position of the crankshaft.	18	19	False
00013qpfpol96o1xiw28z1g6l	9224049	The method of claim 7, further comprising:determining background subtraction mask features based on a Gaussian Mixture Model method; andwherein the step of extracting the foreground object image features from the input video image data comprises applying the determined background subtraction mask features to the input video image data.	7	8	False
00014yjrc0t62n4nf8mymvuu4	4159664	In an accordion having a bellows defining a flexible air chamber and an end box at each end of said air chamber, the improvement comprising:a casing defining each of said end boxes including a back wall adapted to be placed adjacent the body of the accordionist, a front wall, and a side wall connected between said back and front walls extending away from the accordionist;a plurality of means in each end box each producing a single tone when air is delivered thereto from said bellows, each tone producing means being selected to generate one note of the chromatic scale and together generating a consecutive series of notes corresponding to each half step of the chromatic scale along a selected interval, each tone produced by one of said tone producing means in one end box being dissimilar to the tones produced by each of the other tone producing means in said one end box; anda corresponding number of keys one associated with each of said tone producing means and having means for operating its respective tone producing means by controlling delivery of air thereto from said bellows, said keys being located on the exterior of said side walls of said casing, extending and actuated in a direction generally parallel to said back and front walls and arranged in longitudinal and transverse rows for manual manipulation by an accordionist, the physical arrangement of the keys on one end casing being the mirror image of that on the other end casing and corresponding keys on each end casing operating tone producing means for notes having the same note names, the interval between notes generated by the tone producing means operated by adjacent keys in the longitudinal rows being in major thirds and the interval between notes generated by the tone producing means operated by adjacent keys in the transverse rows being in minor seconds.	NULL	1	True
00015hdfoht6pip0stfvfpeji	8007354	A computer-based data processing method for providing pari-mutuel gambling with guaranteed minimum odds and known exact current odds based upon a wager comprising multiple events on a series of events, each event having a plurality of potential outcomes and a single actual outcome, the series of events having a series of actual outcomes, the method comprising the steps of:providing data to the first user as to a current state of any pool that is open, the first user determining the criteria of the first bet from the data;providing data to the second user as to a current state of any pool that is open; and the second user determining the criteria of the second bet from the data;a first user selecting criteria of a first wager;automatically placing the first wager if the selected criteria of the first wager meets a predetermined selection criteria;accepting a first wager representing a first selected series of potential outcomes;a second user selecting criteria of a second wager;automatically placing the second wager if the selected criteria of the second wager meets the predetermined selection criteria;accepting the a second wager, the second wager representing a first selected series of potential outcomes; anddetermining a winning wager, wherein the winning wager most correctly selects the series of actual outcome of the series of events from the closest said selecting criteria of first and second bet by the users regardless of the exact winning outcome or not.	NULL	2	False
000164d8jtxc0rjnbq5holsbm	9323232	The apparatus according to claim 8, where determining the geo-routines comprises associating the at least one user with at least one platform of the transportation system, where the associating is based on matching a radio fingerprint of the vehicle formed with a sensor at the at least one platform to a radio fingerprint associated with the user when the user approaches or leaves the vehicle at the at least one platform.	8	10	False
00016k85jgultqohgh5ulecbs	7006914	The automobile ignition system of claim 74 wherein said portable memory device interfaces with engine controls.	74	83	False
0001810y1ekng6qshz0sjkriz	8828055	The method of implanting a vertebral fixation device of claim 15, further comprising the steps of:positioning the transverse rod in relation to the second connector body by sliding the transverse rod in or out of the second connector body and/or by rotating the transverse rod about a longitudinal axis of the transverse rod;actuating a third locking member to secure the transverse rod to the second connector body.	15	17	False
00018p0oe7h6rxlsqd361c5e0	7662895	The composition of claim 1, further comprising at least 0.001 wt % of a C2-C40 alpha-olefin.	1	18	False
00018pv210nqctnhe60h39d3a	6973225	An optoelectronic module as recited in claim 1 further comprising:a plurality of solder ball material formations that connect the electrical pathways on the bottom surface of the substrate to the up-linking contacts of the chip sub-assembly.	1	8	False
00019cmrqe944g5w5tznmx4j0	4497537	An electric cable as claimed in claim 1 or 2, wherein the core is a single stranded electric conductor.	NULL	6	False
00019y1xor1xziebpucd837ao	8527013	The system of claim 32 wherein the Bluetooth transmitter is built into and integrated with the on-board computer.	32	34	False
0001a8baqq35ewxjwdjg6wgfe	8024189	The method of claim 1 wherein the learning algorithm comprises the AdaBoost algorithm.	1	8	False
0001aw3jr85ijmetgta5m3zpb	5474318	The bicycle of claim 10, further including a shock absorber mounted between said swingarm frame portion and said main frame portion, whereby the relative motion of said frame portions is controlled.	NULL	14	False
0001b1owsw9c4gi58xs25nvgv	6155812	A cement mold to form a temporary implant for use in delivering antibiotics to an infected site, said cement mold comprising:an outer sidewall and an inner sidewall, said inner sidewall operable to substantially define a shape of the temporary implant;a removal mechanism operable to assist in separating said cement mold from the temporary implant; anda plunger having a textured surface to define a textured surface on a portion of the temporary implant.	NULL	19	False
0001b5k6znvopr5lj7phs6kb4	6923988	The pharmaceutical composition of claim 2, wherein the active ingredient is selected from the group consisting of tacrolimus, sirolimus, cilostazol, bicalutaminde, simvastatin, and lovastatin.	2	88	False
0001b6kugnpbd969s39efvlh7	9007168	The system of claim 19,wherein the control circuit is configured to confirm the automatic association with a user via a prompt and subsequent user input.	19	20	False
0001cmxx70k415hr60g4ixel3	8001890	The inker defined in claim 5 wherein the downstream ends overlap axially, whereby ink from each conduit can enter more than one of the mixing compartments.	5	6	False
0001d1wm2ivatl7znr67zdskq	4695597	The foamable organopolysiloxane composition as claimed in claim 1 wherein the platinum compound is chloroplatinic acid.	NULL	3	False
0001d71r2blow8e35uar089cm	8516066	The apparatus as claimed in claim 27, wherein the database node comprises a User Data Repository (UDR) of the telecommunications system configured to hold data relating to a plurality of users of the system; and wherein the subscriber node comprises a server function configured to use data held by the UDR to provide a service to a user of the system.	27	31	False
0001da9qyp8n4i7mzlopxuudl	5706136	The image observing apparatus according to claim 15, wherein the power of a partial area of said second surface as to rays in a plane including said reference axial ray and being perpendicular to said symmetry plane and in a plane parallel to said plane changes from positive to negative along a cut line where said symmetry plane cuts said second surface.	NULL	25	False
0001dnvltouhig2srxj69nqfi	7231931	The method of claim 1, wherein the act of modifying the at least one control parameter includes an act of determining a plurality of process gain terms associated with a plurality of individual components of the mass flow controller based on the process operating conditions, the plurality of individual components forming a control loop of the mass flow controller.	1	7	False
0001e9i69ple0c5sve3mv54c5	8152467	The blade of claim 1, including, at least one further complementary outlet having an opening arranged in an area of a profile trailing edge which, by virtue of its orientation, effects a jet generation oriented non-tangentially to the profile enveloping flow.	1	18	False
0001fgbjxde6c8c0f9m0vo7af	4638303	A digital-analog converter according to claim 1, wherein said first and second switch arrays employ analog switches provided with MOS FETs.	NULL	6	False
0001fl98jg2js8gjsvglvrlfl	5680207	A defect inspecting apparatus according to claim 1, wherein said detection means includes the following: a first selection means to compare the sizes of each of said plural photoelectric conversion signals and select a signal of the largest size; a second selection means to compare the sizes of each of said plural photoelectric conversion signals and select a signal of the smallest size; and a third selection means to select at least one of the signal selected by said first selection means and the signal selected by said second selection means.	NULL	2	False
0001h40wkypg3njhedqyi82ab	9434625	A flameproof protected enclosure system comprising:a fluid containing enclosure having an internal fluid chamber, an inlet fluidly coupled to the internal fluid chamber, an outlet fluidly coupled to the internal fluid chamber, and a flame source disposed in the fluid containing enclosure and having an exposed length within the internal fluid chamber, the outlet being disposed above a topmost portion of the flame source, and the inlet being disposed either below the bottommost portion of the flame source or above the topmost portion of the flame source;a fluid level sensor disposed between the flame source and the outlet wherein the fluid level sensor is operatively connected to the flame source and is operative to de-energize the flame source according to a pre-established input; anda water barrier entirely surrounding the exposed length of the flame source.	NULL	11	False
0001inmm4kkzgv95chkw9us0i	9420945	An interface as recited in claim 6, wherein at least a portion of the displayed clinical information is based on data derived from an ophthalmic imaging modality other than OCT.	6	8	False
0001jimo1203xe685a66rqukf	5606895	The method of claim 12 further comprising the step of forming a longitudinal weld between each side of said support arm and adjacent portions of said pair of side walls of said associated pocket with the length of each longitudinal weld equal to or longer than the width of said support arm.	NULL	13	False
0001jpw6s5vcf51odzdjzw0ba	8406391	The method of claim 37 wherein generating the current comprises generating the current as a function of a current through the first winding.	37	39	False
0001jzmxhswt6ziw0l94ie044	4428336	An inlet valve assembly as claimed in claim 1, in which each of said passages has parallel sides.	NULL	2	False
0001kwvlj2n3w8gkb2h31khou	7890942	A method of substituting array values in a program in a computing environment at compile time, comprising:identifying an initialization of an array, said identifying performed at a compile time of a program being compiled by a compiler of a computer system, said initialization including an assignment of an expression to a plurality of elements of said array via a loop in said program, wherein said expression is selected from the group consisting of a constant value and a function of an induction variable of said loop, said induction variable capable of being evaluated to each value of a set of values;storing, at said compile time and subsequent to said identifying said initialization of said array, said expression in a table residing in a memory, said table associating said expression with said array and with a plurality of indices of said array, said plurality of indices being dependent upon a subset of said set of values;detecting, at said compile time and subsequent to said storing said expression in said table, at least one element of said plurality of elements of said array on the right side of an assignment statement included in said program, wherein said at least one element of said plurality of elements is to be assigned by said assignment statement, said at least one element associated with at least one index of said plurality of indices in a one-to-one correspondence, and wherein said assignment statement is different from said assignment of said expression to said plurality of elements of said array via said loop;retrieving, at said compile time and in response to said detecting said at least one element on the right side of said assignment statement, said expression from said table, said retrieving based on said expression being associated by said table with said array and with said at least one index; andsubstituting, into said assignment statement included in said program and at said compile time, said expression retrieved from said table for said at least one element detected on the right side of said assignment statement so that said expression replaces said at least one element on the right side of said assignment statement and is to be assigned by an execution of said assignment statement instead of said at least one element being assigned by said execution of said assignment statement.	NULL	1	True
0001ljqhzz49ziorig2505lw9	6883492	The method of claim 54 wherein the step for providing a fixed level of engine valve actuation comprises the step of limiting the maximum volume of an accumulator hydraulically linked to the master and slave pistons.	54	55	False
0001lofeyfoycvfcichmyzipg	4576998	The composite of Claim 1 wherein the reaction mixture further comprises a free-radical initiator and catalyst for the reaction of a polyisocyanate and a polyahl.	NULL	9	False
0001m3m02zdedc5n5hd8v910a	6539144	The method of claim 17, further comprising:transmitting one or more transmitted optical signals in a clockwise direction at the primary module; and if an error condition occurs, transmitting at least one of the one or more optical signals in a counter-clockwise direction at the first module.	17	20	False
0001mctwnmdq6fffqahzaa3cr	6675233	A computer system as claimed in claim 1, said audio controller further comprising decoder circuitry receiving said audio data and outputting a decompressed stream of audio data.	1	2	False
0001o02i7jthdfp3v09ddqkpl	8835760	The electric junction box as claimed in claim 1, wherein the electric components connected to the bus bar in the one of the pair of cassette blocks are arranged in two lines.	1	2	False
